run_id,filename,representation,jpeg_quality,gt_count,pred_count,tp,fp,fn,exact_count,mean_confidence,inference_ms,encoded_size_bytes,raw_image_bytes,compression_ratio,encode_ms,decode_ms
conference_qs_full_01,frame_0001.png,RAW,,5,5,5,0,0,1,0.421520,35.377746,2764800,2764800,1.000000,0.000000,0.000000
conference_qs_full_01,frame_0001.png,JPEG,5,5,2,2,0,3,0,0.318180,33.565879,18564,2764800,148.933420,1.350074,1.822558
conference_qs_full_01,frame_0001.png,JPEG,10,5,4,4,0,1,0,0.387775,33.260161,29112,2764800,94.971146,1.517204,1.643606
conference_qs_full_01,frame_0001.png,JPEG,20,5,5,5,0,0,1,0.447279,33.861341,51941,2764800,53.229626,1.677483,1.836150
conference_qs_full_01,frame_0001.png,JPEG,30,5,2,2,0,3,0,0.574669,33.436136,71366,2764800,38.741137,1.756359,2.000095
conference_qs_full_01,frame_0001.png,JPEG,40,5,3,3,0,2,0,0.582965,34.254634,87641,2764800,31.546879,1.829728,2.127753
conference_qs_full_01,frame_0001.png,JPEG,50,5,5,5,0,0,1,0.459814,33.738572,103016,2764800,26.838549,1.912052,2.753690
conference_qs_full_01,frame_0001.png,JPEG,60,5,5,5,0,0,1,0.453749,34.391456,119017,2764800,23.230295,1.979568,2.457981
conference_qs_full_01,frame_0001.png,JPEG,70,5,6,5,1,0,0,0.439198,33.890534,143419,2764800,19.277780,2.196692,3.104708
conference_qs_full_01,frame_0001.png,JPEG,80,5,6,5,1,0,0,0.422591,33.378422,181682,2764800,15.217798,2.246941,2.925363
conference_qs_full_01,frame_0001.png,JPEG,90,5,5,5,0,0,1,0.443059,33.962584,276952,2764800,9.982957,2.591299,4.015152
conference_qs_full_01,frame_0002.png,RAW,,5,3,3,0,2,0,0.502548,35.134239,2764800,2764800,1.000000,0.000000,0.000000
conference_qs_full_01,frame_0002.png,JPEG,5,5,1,1,0,4,0,0.323976,33.384218,18564,2764800,148.933420,1.355427,1.258018
conference_qs_full_01,frame_0002.png,JPEG,10,5,3,3,0,2,0,0.448812,33.232819,29158,2764800,94.821318,1.530400,1.603941
conference_qs_full_01,frame_0002.png,JPEG,20,5,4,4,0,1,0,0.439893,33.285520,51867,2764800,53.305570,1.666008,1.849384
conference_qs_full_01,frame_0002.png,JPEG,30,5,5,5,0,0,1,0.383195,33.182460,71322,2764800,38.765037,1.770664,2.022553
conference_qs_full_01,frame_0002.png,JPEG,40,5,4,4,0,1,0,0.438501,33.648765,87540,2764800,31.583276,1.840773,2.144959
conference_qs_full_01,frame_0002.png,JPEG,50,5,4,4,0,1,0,0.447193,33.128783,103132,2764800,26.808362,1.915849,2.279237
conference_qs_full_01,frame_0002.png,JPEG,60,5,4,4,0,1,0,0.408000,33.165636,119240,2764800,23.186850,1.976864,2.406161
conference_qs_full_01,frame_0002.png,JPEG,70,5,4,4,0,1,0,0.461593,33.543670,143470,2764800,19.270928,2.101040,2.603341
conference_qs_full_01,frame_0002.png,JPEG,80,5,4,4,0,1,0,0.467229,33.393337,181882,2764800,15.201064,2.259876,2.905403
conference_qs_full_01,frame_0002.png,JPEG,90,5,4,4,0,1,0,0.456082,33.521548,277189,2764800,9.974422,2.621171,3.581475
conference_qs_full_01,frame_0003.png,RAW,,5,4,4,0,1,0,0.470961,34.819018,2764800,2764800,1.000000,0.000000,0.000000
conference_qs_full_01,frame_0003.png,JPEG,5,5,2,2,0,3,0,0.358712,32.985107,18596,2764800,148.677135,1.327575,1.257618
conference_qs_full_01,frame_0003.png,JPEG,10,5,3,3,0,2,0,0.370841,33.887928,29222,2764800,94.613647,1.525745,2.158010
conference_qs_full_01,frame_0003.png,JPEG,20,5,5,5,0,0,1,0.431917,33.719136,51949,2764800,53.221429,1.660798,1.853588
conference_qs_full_01,frame_0003.png,JPEG,30,5,5,5,0,0,1,0.437323,33.854163,71323,2764800,38.764494,1.756513,2.474633
conference_qs_full_01,frame_0003.png,JPEG,40,5,6,5,1,0,0,0.448137,33.670615,87618,2764800,31.555160,1.841854,2.154671
conference_qs_full_01,frame_0003.png,JPEG,50,5,6,5,1,0,0,0.424463,34.114180,103103,2764800,26.815903,1.930065,2.812494
conference_qs_full_01,frame_0003.png,JPEG,60,5,5,5,0,0,1,0.458338,33.215718,119230,2764800,23.188795,1.989101,2.452031
conference_qs_full_01,frame_0003.png,JPEG,70,5,3,3,0,2,0,0.522985,33.845587,143618,2764800,19.251069,2.103269,3.109767
conference_qs_full_01,frame_0003.png,JPEG,80,5,4,4,0,1,0,0.451521,33.582231,181939,2764800,15.196302,2.259108,2.933682
conference_qs_full_01,frame_0003.png,JPEG,90,5,3,3,0,2,0,0.543708,34.031767,276979,2764800,9.981984,2.601624,4.029505
conference_qs_full_01,frame_0004.png,RAW,,5,4,4,0,1,0,0.492477,34.634944,2764800,2764800,1.000000,0.000000,0.000000
conference_qs_full_01,frame_0004.png,JPEG,5,5,0,0,0,5,0,0.000000,32.997661,18631,2764800,148.397832,1.345614,1.266245
conference_qs_full_01,frame_0004.png,JPEG,10,5,5,5,0,0,1,0.352750,33.223136,29267,2764800,94.468172,1.521003,1.590210
conference_qs_full_01,frame_0004.png,JPEG,20,5,2,2,0,3,0,0.586258,33.482003,51932,2764800,53.238851,1.677838,1.851004
conference_qs_full_01,frame_0004.png,JPEG,30,5,4,4,0,1,0,0.545449,33.311902,71197,2764800,38.833097,1.776819,2.004350
conference_qs_full_01,frame_0004.png,JPEG,40,5,6,5,1,0,0,0.440755,33.963634,87411,2764800,31.629886,1.837663,2.140985
conference_qs_full_01,frame_0004.png,JPEG,50,5,5,5,0,0,1,0.432818,33.380653,102944,2764800,26.857320,1.920643,2.280080
conference_qs_full_01,frame_0004.png,JPEG,60,5,4,4,0,1,0,0.525714,33.938673,119201,2764800,23.194436,2.011068,3.036359
conference_qs_full_01,frame_0004.png,JPEG,70,5,4,4,0,1,0,0.496247,33.580576,143483,2764800,19.269182,2.113970,2.623636
conference_qs_full_01,frame_0004.png,JPEG,80,5,3,3,0,2,0,0.586524,34.025561,181955,2764800,15.194966,2.271540,2.893452
conference_qs_full_01,frame_0004.png,JPEG,90,5,3,3,0,2,0,0.583396,32.975935,276948,2764800,9.983102,2.610076,3.630310
conference_qs_full_01,frame_0005.png,RAW,,5,4,4,0,1,0,0.390128,34.839593,2764800,2764800,1.000000,0.000000,0.000000
conference_qs_full_01,frame_0005.png,JPEG,5,5,0,0,0,5,0,0.000000,32.998686,18583,2764800,148.781144,1.336353,1.309412
conference_qs_full_01,frame_0005.png,JPEG,10,5,4,4,0,1,0,0.380269,33.545629,29309,2764800,94.332799,1.522232,2.116182
conference_qs_full_01,frame_0005.png,JPEG,20,5,4,4,0,1,0,0.448339,33.395559,51929,2764800,53.241926,1.662057,1.836211
conference_qs_full_01,frame_0005.png,JPEG,30,5,2,2,0,3,0,0.495506,33.588977,71160,2764800,38.853288,1.761255,2.480764
conference_qs_full_01,frame_0005.png,JPEG,40,5,3,3,0,2,0,0.524042,33.516459,87584,2764800,31.567410,1.834818,2.150452
conference_qs_full_01,frame_0005.png,JPEG,50,5,5,5,0,0,1,0.405711,33.610184,103006,2764800,26.841155,1.932066,2.778463
conference_qs_full_01,frame_0005.png,JPEG,60,5,4,4,0,1,0,0.463846,33.413342,119180,2764800,23.198523,1.980166,2.469618
conference_qs_full_01,frame_0005.png,JPEG,70,5,4,4,0,1,0,0.471011,33.826762,143385,2764800,19.282352,2.102235,3.095346
conference_qs_full_01,frame_0005.png,JPEG,80,5,3,3,0,2,0,0.519827,33.843221,181873,2764800,15.201817,2.253132,2.932621
conference_qs_full_01,frame_0005.png,JPEG,90,5,3,3,0,2,0,0.467350,33.763370,276890,2764800,9.985193,2.580484,4.059255
conference_qs_full_01,frame_0006.png,RAW,,5,3,3,0,2,0,0.398825,34.341126,2764800,2764800,1.000000,0.000000,0.000000
conference_qs_full_01,frame_0006.png,JPEG,5,5,1,1,0,4,0,0.293566,33.228202,18598,2764800,148.661146,1.344652,1.254102
conference_qs_full_01,frame_0006.png,JPEG,10,5,4,4,0,1,0,0.411641,33.328984,29356,2764800,94.181769,1.555124,1.569113
conference_qs_full_01,frame_0006.png,JPEG,20,5,2,2,0,3,0,0.554268,32.928353,51936,2764800,53.234750,1.667882,1.839786
conference_qs_full_01,frame_0006.png,JPEG,30,5,2,2,0,3,0,0.475299,34.642529,71267,2764800,38.794954,1.774081,2.001500
conference_qs_full_01,frame_0006.png,JPEG,40,5,3,3,0,2,0,0.479642,32.913014,87502,2764800,31.596992,1.836913,2.177694
conference_qs_full_01,frame_0006.png,JPEG,50,5,4,4,0,1,0,0.398848,32.355986,103011,2764800,26.839852,1.926772,2.286596
conference_qs_full_01,frame_0006.png,JPEG,60,5,2,2,0,3,0,0.590888,34.456278,119328,2764800,23.169751,1.999138,2.433292
conference_qs_full_01,frame_0006.png,JPEG,70,5,4,4,0,1,0,0.431242,33.214462,143521,2764800,19.264080,2.097476,2.633400
conference_qs_full_01,frame_0006.png,JPEG,80,5,3,3,0,2,0,0.472262,33.743319,181922,2764800,15.197722,2.274699,2.933423
conference_qs_full_01,frame_0006.png,JPEG,90,5,3,3,0,2,0,0.425024,33.412724,277106,2764800,9.977409,2.614966,3.570490
conference_qs_full_01,frame_0007.png,RAW,,5,2,2,0,3,0,0.463563,35.200647,2764800,2764800,1.000000,0.000000,0.000000
conference_qs_full_01,frame_0007.png,JPEG,5,5,2,2,0,3,0,0.315458,33.537414,18578,2764800,148.821186,1.346544,1.251097
conference_qs_full_01,frame_0007.png,JPEG,10,5,3,3,0,2,0,0.445937,34.032882,29317,2764800,94.307057,1.524569,2.074704
conference_qs_full_01,frame_0007.png,JPEG,20,5,3,3,0,2,0,0.414298,34.155446,51940,2764800,53.230651,1.669874,1.834135
conference_qs_full_01,frame_0007.png,JPEG,30,5,2,2,0,3,0,0.617218,33.992128,71241,2764800,38.809113,1.815236,2.575385
conference_qs_full_01,frame_0007.png,JPEG,40,5,4,4,0,1,0,0.450410,33.964858,87706,2764800,31.523499,1.877086,2.152140
conference_qs_full_01,frame_0007.png,JPEG,50,5,3,3,0,2,0,0.428368,33.935993,103036,2764800,26.833340,1.928081,2.797864
conference_qs_full_01,frame_0007.png,JPEG,60,5,4,4,0,1,0,0.468242,33.591993,119189,2764800,23.196772,2.003765,2.407950
conference_qs_full_01,frame_0007.png,JPEG,70,5,4,4,0,1,0,0.425771,34.337515,143519,2764800,19.264348,2.099699,3.106393
conference_qs_full_01,frame_0007.png,JPEG,80,5,2,2,0,3,0,0.521827,33.704722,181993,2764800,15.191793,2.253972,2.888732
conference_qs_full_01,frame_0007.png,JPEG,90,5,2,2,0,3,0,0.471434,34.317048,277020,2764800,9.980507,2.626103,4.029650
conference_qs_full_01,frame_0008.png,RAW,,5,3,3,0,2,0,0.430438,35.040198,2764800,2764800,1.000000,0.000000,0.000000
conference_qs_full_01,frame_0008.png,JPEG,5,5,2,2,0,3,0,0.315258,33.334053,18561,2764800,148.957492,1.342611,1.258893
conference_qs_full_01,frame_0008.png,JPEG,10,5,4,4,0,1,0,0.418561,33.493191,29297,2764800,94.371437,1.531751,1.605892
conference_qs_full_01,frame_0008.png,JPEG,20,5,2,2,0,3,0,0.484542,34.599219,51961,2764800,53.209138,1.670395,1.841249
